protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_000208_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR6201507
Obelisk_000208_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR6201507
Obelisk_000208_000001_000001_3	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR6201507
Obelisk_000208_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR6201508
Obelisk_000208_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR6201508
Obelisk_000208_000001_000002_3	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR6201508
Obelisk_000208_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR873451
Obelisk_000208_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR873451
Obelisk_000208_000001_000003_3	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR873451
Obelisk_000208_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000208_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR873464
